mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,OpenAI GPT 5.4 mini,37,mock-24591-46c1eb90-evt-000348,348,17,175,mock-24591-46c1eb90-evt-000503,503,28,193,11,18,False
mortgage-0002,Gemini 3.5 Flash,12,mock-24591-46c1eb90-evt-001092,1092,57,75,mock-24591-46c1eb90-evt-001789,1789,99,83,42,8,False
mortgage-0003,Gemini 3.5 Flash,23,mock-24591-46c1eb90-evt-001243,1243,62,110,mock-24591-46c1eb90-evt-002636,2636,139,122,77,12,False
mortgage-0004,OpenAI GPT 5.4 mini,3,mock-24591-46c1eb90-evt-001283,1283,65,30,mock-24591-46c1eb90-evt-001388,1388,69,33,4,3,False
mortgage-0005,OpenAI GPT 5.4 mini,8,mock-24591-46c1eb90-evt-001289,1289,65,50,mock-24591-46c1eb90-evt-001394,1394,69,56,4,6,False
mortgage-0006,OpenAI GPT 5.4 mini,34,mock-24591-46c1eb90-evt-001295,1295,65,160,mock-24591-46c1eb90-evt-001693,1693,91,176,26,16,False
mortgage-0007,OpenAI GPT 5.4 mini,31,mock-24591-46c1eb90-evt-001301,1301,65,150,,,,,,,True
mortgage-0008,OpenAI GPT 5.4 mini,19,mock-24591-46c1eb90-evt-001307,1307,65,100,,,,,,,True
mortgage-0009,OpenAI GPT 5.4 mini,13,mock-24591-46c1eb90-evt-001313,1313,65,70,,,,,,,True
mortgage-0010,OpenAI GPT 5.4 mini,29,mock-24591-46c1eb90-evt-001322,1322,65,140,,,,,,,True
mortgage-0011,OpenAI GPT 5.4 mini,21,mock-24591-46c1eb90-evt-001328,1328,65,110,,,,,,,True
mortgage-0012,OpenAI GPT 5.4 mini,16,mock-24591-46c1eb90-evt-001637,1637,88,90,,,,,,,True
mortgage-0013,OpenAI GPT 5.4 mini,32,mock-24591-46c1eb90-evt-001650,1650,88,150,,,,,,,True
mortgage-0014,OpenAI GPT 5.4 mini,8,mock-24591-46c1eb90-evt-001754,1754,97,50,mock-24591-46c1eb90-evt-001976,1976,109,56,12,6,False
mortgage-0015,OpenAI GPT 5.4 mini,9,mock-24591-46c1eb90-evt-001763,1763,97,60,mock-24591-46c1eb90-evt-001982,1982,109,66,12,6,False
mortgage-0016,OpenAI GPT 5.4 mini,34,mock-24591-46c1eb90-evt-001884,1884,106,160,,,,,,,True
mortgage-0017,OpenAI GPT 5.4 mini,6,mock-24591-46c1eb90-evt-002094,2094,117,50,,,,,,,True
mortgage-0018,OpenAI GPT 5.4 mini,8,mock-24591-46c1eb90-evt-002106,2106,117,50,,,,,,,True
mortgage-0019,OpenAI GPT 5.4 mini,9,mock-24591-46c1eb90-evt-002118,2118,117,60,mock-24591-46c1eb90-evt-002124,2124,117,66,0,6,False
mortgage-0020,OpenAI GPT 5.4 mini,9,mock-24591-46c1eb90-evt-002130,2130,117,60,,,,,,,True
mortgage-0021,OpenAI GPT 5.4 mini,1,mock-24591-46c1eb90-evt-002237,2237,121,30,mock-24591-46c1eb90-evt-002286,2286,124,33,3,3,False
mortgage-0022,Claude Haiku 4.5,11,mock-24591-46c1eb90-evt-002317,2317,125,70,mock-24591-46c1eb90-evt-002323,2323,125,77,0,7,False
mortgage-0023,OpenAI GPT 5.4 mini,3,mock-24591-46c1eb90-evt-002898,2898,153,30,,,,,,,True
mortgage-0024,OpenAI GPT 5.4 mini,1,mock-24591-46c1eb90-evt-002904,2904,153,30,,,,,,,True
