player_id,reason,event_count,inflow_event_count,outflow_event_count,gross_inflow,gross_outflow,net_flow,mean_delta,mean_absolute_delta,minimum_delta,maximum_delta
Claude Opus 4.8,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Claude Opus 4.8,BANKRUPTCY_CASH,1,0,1,0,1203,-1203,-1203.0,1203.0,-1203,-1203
Claude Opus 4.8,BEAUTY_CONTEST_COLLECT_10,1,1,0,10,0,10,10.0,10.0,10,10
Claude Opus 4.8,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Claude Opus 4.8,BUILD,2,0,2,0,400,-400,-200.0,200.0,-300,-100
Claude Opus 4.8,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Claude Opus 4.8,HOLIDAY_FUND_RECEIVE_100,1,1,0,100,0,100,100.0,100.0,100,100
Claude Opus 4.8,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Claude Opus 4.8,MORTGAGE,3,3,0,310,0,310,103.333333,103.333333,90,120
Claude Opus 4.8,MORTGAGE_INTEREST,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Claude Opus 4.8,PASS_GO,4,4,0,800,0,800,200.0,200.0,200,200
Claude Opus 4.8,RENT,15,9,6,179,171,8,0.533333,23.333333,-50,26
Claude Opus 4.8,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Claude Opus 4.8,TRADE_CASH,2,1,1,350,315,35,17.5,332.5,-315,350
Claude Opus 4.8,buy_property,6,0,6,0,1040,-1040,-173.333333,173.333333,-300,-60
Gemini 3.1 Pro Preview,BANKRUPTCY_CASH,3,3,0,2527,0,2527,842.333333,842.333333,569,1203
Gemini 3.1 Pro Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,3,3,0,30,0,30,10.0,10.0,10,10
Gemini 3.1 Pro Preview,BUILD,6,0,6,0,2100,-2100,-350.0,350.0,-600,-100
Gemini 3.1 Pro Preview,DOCTOR_FEE_PAY_50,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Gemini 3.1 Pro Preview,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,3,0,3,0,37,-37,-12.333333,12.333333,-15,-8
Gemini 3.1 Pro Preview,PASS_GO,6,6,0,1200,0,1200,200.0,200.0,200,200
Gemini 3.1 Pro Preview,RENT,25,18,7,1049,110,939,37.56,46.36,-26,320
Gemini 3.1 Pro Preview,STREET_REPAIRS,1,0,1,0,640,-640,-640.0,640.0,-640,-640
Gemini 3.1 Pro Preview,TAX_INCOME,2,0,2,0,400,-400,-200.0,200.0,-200,-200
Gemini 3.1 Pro Preview,TRADE_CASH,8,3,5,1150,895,255,31.875,255.625,-225,500
Gemini 3.1 Pro Preview,UNMORTGAGE,5,0,5,0,513,-513,-102.6,102.6,-154,-77
Gemini 3.1 Pro Preview,buy_property,5,0,5,0,1310,-1310,-262.0,262.0,-400,-100
Grok 4.3,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Grok 4.3,BANKRUPTCY_CASH,1,0,1,0,755,-755,-755.0,755.0,-755,-755
Grok 4.3,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Grok 4.3,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Grok 4.3,MORTGAGE_INTEREST,1,0,1,0,11,-11,-11.0,11.0,-11,-11
Grok 4.3,PASS_GO,5,5,0,1000,0,1000,200.0,200.0,200,200
Grok 4.3,RENT,17,6,11,129,628,-499,-29.352941,44.529412,-320,25
Grok 4.3,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Grok 4.3,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Grok 4.3,TRADE_CASH,2,1,1,275,170,105,52.5,222.5,-170,275
Grok 4.3,buy_property,5,0,5,0,1080,-1080,-216.0,216.0,-300,-100
OpenAI GPT 5.5,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
OpenAI GPT 5.5,BANKRUPTCY_CASH,1,0,1,0,569,-569,-569.0,569.0,-569,-569
OpenAI GPT 5.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
OpenAI GPT 5.5,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,3,0,3,0,150,-150,-50.0,50.0,-50,-50
OpenAI GPT 5.5,INCOME_TAX_REFUND_COLLECT_20,1,1,0,20,0,20,20.0,20.0,20,20
OpenAI GPT 5.5,INHERIT_100,1,1,0,100,0,100,100.0,100.0,100,100
OpenAI GPT 5.5,MORTGAGE,15,15,0,1250,0,1250,83.333333,83.333333,50,150
OpenAI GPT 5.5,PASS_GO,4,4,0,800,0,800,200.0,200.0,200,200
OpenAI GPT 5.5,RENT,15,3,12,28,476,-448,-29.866667,33.6,-200,16
OpenAI GPT 5.5,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
OpenAI GPT 5.5,TRADE_CASH,12,7,5,1380,1775,-395,-32.916667,262.916667,-500,315
OpenAI GPT 5.5,UNMORTGAGE,6,0,6,0,438,-438,-73.0,73.0,-111,-56
OpenAI GPT 5.5,buy_property,8,0,8,0,1460,-1460,-182.5,182.5,-280,-120
