mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,OpenAI GPT 5.5,8,mock-321229807-87ca99d7-evt-000289,289,12,50,mock-321229807-87ca99d7-evt-000713,713,26,56,14,6,False
mortgage-0002,OpenAI GPT 5.5,9,mock-321229807-87ca99d7-evt-000295,295,12,60,mock-321229807-87ca99d7-evt-000697,697,26,66,14,6,False
mortgage-0003,OpenAI GPT 5.5,14,mock-321229807-87ca99d7-evt-000301,301,12,80,,,,,,,True
mortgage-0004,OpenAI GPT 5.5,13,mock-321229807-87ca99d7-evt-000307,307,12,70,,,,,,,True
mortgage-0005,OpenAI GPT 5.5,29,mock-321229807-87ca99d7-evt-000500,500,20,140,,,,,,,True
mortgage-0006,OpenAI GPT 5.5,12,mock-321229807-87ca99d7-evt-000820,820,31,75,mock-321229807-87ca99d7-evt-001263,1263,57,83,26,8,False
mortgage-0007,OpenAI GPT 5.5,9,mock-321229807-87ca99d7-evt-000894,894,35,60,mock-321229807-87ca99d7-evt-001669,1669,73,66,38,6,False
mortgage-0008,OpenAI GPT 5.5,8,mock-321229807-87ca99d7-evt-000900,900,35,50,mock-321229807-87ca99d7-evt-001675,1675,73,56,38,6,False
mortgage-0009,OpenAI GPT 5.5,19,mock-321229807-87ca99d7-evt-000953,953,39,100,mock-321229807-87ca99d7-evt-001202,1202,52,111,13,11,False
mortgage-0010,OpenAI GPT 5.5,19,mock-321229807-87ca99d7-evt-001269,1269,57,100,,,,,,,True
mortgage-0011,OpenAI GPT 5.5,12,mock-321229807-87ca99d7-evt-001351,1351,62,75,,,,,,,True
mortgage-0012,OpenAI GPT 5.5,27,mock-321229807-87ca99d7-evt-001876,1876,82,130,,,,,,,True
mortgage-0013,OpenAI GPT 5.5,31,mock-321229807-87ca99d7-evt-001905,1905,82,150,,,,,,,True
mortgage-0014,OpenAI GPT 5.5,9,mock-321229807-87ca99d7-evt-002054,2054,86,60,,,,,,,True
mortgage-0015,OpenAI GPT 5.5,8,mock-321229807-87ca99d7-evt-002104,2104,90,50,,,,,,,True
mortgage-0016,Claude Opus 4.8,24,mock-321229807-87ca99d7-evt-002180,2180,95,120,,,,,,,True
mortgage-0017,Claude Opus 4.8,5,mock-321229807-87ca99d7-evt-002186,2186,95,100,,,,,,,True
mortgage-0018,Claude Opus 4.8,18,mock-321229807-87ca99d7-evt-002192,2192,95,90,,,,,,,True
