schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,from_player_id,to_player_id,space_index,property_space,amount,reason
v1,mock-321229807-87ca99d7,10,0,PROPERTY_PURCHASED,,Claude Opus 4.8,,,24,,240,
v1,mock-321229807-87ca99d7,24,1,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,8,,100,
v1,mock-321229807-87ca99d7,38,2,PROPERTY_PURCHASED,,Grok 4.3,,,6,,100,
v1,mock-321229807-87ca99d7,52,3,PROPERTY_PURCHASED,,Grok 4.3,,,15,,200,
v1,mock-321229807-87ca99d7,66,4,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,9,,120,
v1,mock-321229807-87ca99d7,95,4,PROPERTY_TRANSFERRED,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,8,,,
v1,mock-321229807-87ca99d7,158,6,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,13,,140,
v1,mock-321229807-87ca99d7,172,7,PROPERTY_PURCHASED,,Grok 4.3,,,21,,220,
v1,mock-321229807-87ca99d7,186,8,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,14,,160,
v1,mock-321229807-87ca99d7,283,12,PROPERTY_TRANSFERRED,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,13,,,
v1,mock-321229807-87ca99d7,289,12,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,8,,,
v1,mock-321229807-87ca99d7,295,12,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,9,,,
v1,mock-321229807-87ca99d7,301,12,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,14,,,
v1,mock-321229807-87ca99d7,307,12,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,13,,,
v1,mock-321229807-87ca99d7,355,13,PROPERTY_PURCHASED,,Claude Opus 4.8,,,18,,180,
v1,mock-321229807-87ca99d7,369,14,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,34,,320,
v1,mock-321229807-87ca99d7,383,15,PROPERTY_PURCHASED,,Grok 4.3,,,32,,300,
v1,mock-321229807-87ca99d7,397,16,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,25,,200,
v1,mock-321229807-87ca99d7,446,16,PROPERTY_TRANSFERRED,,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,25,,,
v1,mock-321229807-87ca99d7,470,18,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,37,,350,
v1,mock-321229807-87ca99d7,493,20,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,29,,280,
