turn_index,space_index,space_name,space_kind,space_group,price,owner_id,mortgaged,houses,hotel
1,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
2,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Gemini 3.1 Pro Preview,False,0,False
2,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
3,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
3,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Gemini 3.1 Pro Preview,False,0,False
3,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
4,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
4,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Gemini 3.1 Pro Preview,False,0,False
4,15,Pennsylvania Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
4,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
5,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
5,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,OpenAI GPT 5.5,False,0,False
5,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,OpenAI GPT 5.5,False,0,False
5,15,Pennsylvania Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
5,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
6,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
6,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,OpenAI GPT 5.5,False,0,False
6,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,OpenAI GPT 5.5,False,0,False
6,15,Pennsylvania Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
6,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
7,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
7,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,OpenAI GPT 5.5,False,0,False
7,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,OpenAI GPT 5.5,False,0,False
7,13,States Avenue,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
7,15,Pennsylvania Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
7,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
8,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
8,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,OpenAI GPT 5.5,False,0,False
8,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,OpenAI GPT 5.5,False,0,False
8,13,States Avenue,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
8,15,Pennsylvania Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
8,21,Kentucky Avenue,PROPERTY,RED,220,Grok 4.3,False,0,False
8,24,Illinois Avenue,PROPERTY,RED,240,Claude Opus 4.8,False,0,False
