event_type,count
LLM_DECISION_REQUESTED,488
LLM_DECISION_RESPONSE,488
LLM_PRIVATE_THOUGHT,488
LLM_PUBLIC_MESSAGE,488
CASH_CHANGED,265
DICE_ROLLED,169
PLAYER_MOVED,169
TURN_ENDED,166
TURN_STARTED,166
TRADE_PROPOSED,107
TRADE_REJECTED,93
PROPERTY_PURCHASED,50
RENT_PAID,46
PROPERTY_MORTGAGED,29
PROPERTY_TRANSFERRED,25
TRADE_COUNTERED,22
CARD_DRAWN,17
HOUSE_BUILT,16
PROPERTY_UNMORTGAGED,16
TRADE_ACCEPTED,14
SENT_TO_JAIL,9
AUCTION_PLAYER_DROPPED,3
HOUSE_SOLD,2
AUCTION_BID_PLACED,1
AUCTION_ENDED,1
AUCTION_STARTED,1
GAME_ENDED,1
GAME_STARTED,1
