turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,Claude Opus 4.8,2,0.035765,5158,399,91,5557,9138
1,Gemini 3.1 Pro Preview,2,0.009546,3099,279,189,3378,5805
2,Gemini 3.1 Pro Preview,1,0.005924,1816,191,131,2007,3303
4,Grok 4.3,1,0.003323,1910,428,363,2338,6707
5,Claude Opus 4.8,1,0.026435,3997,258,42,4255,4943
5,Gemini 3.1 Pro Preview,2,0.017386,4691,667,506,5358,9211
5,OpenAI GPT 5.5,4,0.09647,8110,1864,1386,9974,68410
6,Claude Opus 4.8,2,0.05814,9103,505,105,9608,10955
7,Gemini 3.1 Pro Preview,3,0.025868,8440,749,515,9189,10870
8,Gemini 3.1 Pro Preview,1,0.010576,3200,348,276,3548,4263
9,Grok 4.3,2,0.008094,5598,546,446,6144,8519
10,Claude Opus 4.8,4,0.200435,24067,3204,622,27271,51648
10,Gemini 3.1 Pro Preview,3,0.04202,10528,1747,1451,12275,19148
10,OpenAI GPT 5.5,8,0.332353,24821,7364,6253,32185,219597
11,Claude Opus 4.8,2,0.09121,12727,1103,316,13830,21655
12,Gemini 3.1 Pro Preview,2,0.022334,7507,610,461,8117,8342
13,Gemini 3.1 Pro Preview,2,0.021712,7634,537,391,8171,7687
14,Gemini 3.1 Pro Preview,2,0.024838,7697,787,612,8484,9863
15,Grok 4.3,2,0.011019,6704,1190,1046,7894,16568
16,Claude Opus 4.8,2,0.082325,13200,653,103,13853,11209
16,Gemini 3.1 Pro Preview,2,0.029208,7506,1183,973,8689,12831
16,Grok 4.3,1,0.005788,3388,675,577,4063,6943
16,OpenAI GPT 5.5,6,0.234625,20459,4411,3515,24870,119123
17,Claude Opus 4.8,1,0.04441,6887,399,84,7286,6351
18,Gemini 3.1 Pro Preview,1,0.011156,3910,278,205,4188,4174
20,Gemini 3.1 Pro Preview,2,0.02522,7834,796,604,8630,10197
20,Grok 4.3,1,0.005495,3541,508,393,4049,8909
20,OpenAI GPT 5.5,5,0.20904,17400,4068,3420,21468,108247
21,Claude Opus 4.8,1,0.04108,6811,281,54,7092,9676
22,Gemini 3.1 Pro Preview,2,0.023042,7357,694,523,8051,9243
23,Grok 4.3,1,0.005066,3178,518,418,3696,8398
25,Claude Opus 4.8,2,0.084495,12389,902,243,13291,16280
26,Claude Opus 4.8,2,0.11832,13634,2006,368,15640,33636
26,Gemini 3.1 Pro Preview,5,0.0887,19546,4134,3350,23680,41812
27,Grok 4.3,2,0.010921,7026,963,810,7989,15948
28,Claude Opus 4.8,1,0.04354,7188,304,37,7492,6137
28,Gemini 3.1 Pro Preview,2,0.034808,7762,1607,1397,9369,17134
28,Grok 4.3,1,0.00652,3761,808,712,4569,12594
28,OpenAI GPT 5.5,7,0.445559,24481,11271,10426,35752,323809
29,Claude Opus 4.8,2,0.106785,15717,1128,94,16845,20824
30,Gemini 3.1 Pro Preview,1,0.01577,4567,553,465,5120,6125
31,Grok 4.3,1,0.006077,3975,497,429,4472,6254
32,OpenAI GPT 5.5,2,0.04881,6942,470,284,7412,16269
