seq,turn_index,event_id,event_type,actor_player_id,player_id,delta,reason
9,0,mock-44910-42ec35c5-evt-000009,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-140,buy_property
23,1,mock-44910-42ec35c5-evt-000023,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-100,buy_property
40,3,mock-44910-42ec35c5-evt-000040,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-6,RENT
41,3,mock-44910-42ec35c5-evt-000041,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,6,RENT
51,4,mock-44910-42ec35c5-evt-000051,CASH_CHANGED,Grok 4.3,Grok 4.3,-6,RENT
52,4,mock-44910-42ec35c5-evt-000052,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,6,RENT
63,5,mock-44910-42ec35c5-evt-000063,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-50,SCHOOL_FEES_PAY_50
73,6,mock-44910-42ec35c5-evt-000073,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
74,6,mock-44910-42ec35c5-evt-000074,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
75,6,mock-44910-42ec35c5-evt-000075,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
76,6,mock-44910-42ec35c5-evt-000076,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
77,6,mock-44910-42ec35c5-evt-000077,CASH_CHANGED,Grok 4.3,Grok 4.3,-10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
78,6,mock-44910-42ec35c5-evt-000078,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
92,7,mock-44910-42ec35c5-evt-000092,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-120,buy_property
106,8,mock-44910-42ec35c5-evt-000106,CASH_CHANGED,Grok 4.3,Grok 4.3,-200,buy_property
120,9,mock-44910-42ec35c5-evt-000120,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-260,buy_property
134,10,mock-44910-42ec35c5-evt-000134,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-200,buy_property
148,11,mock-44910-42ec35c5-evt-000148,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-180,buy_property
162,12,mock-44910-42ec35c5-evt-000162,CASH_CHANGED,Grok 4.3,Grok 4.3,-220,buy_property
176,13,mock-44910-42ec35c5-evt-000176,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-280,buy_property
190,14,mock-44910-42ec35c5-evt-000190,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-200,buy_property
199,15,mock-44910-42ec35c5-evt-000199,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,200,PASS_GO
251,15,mock-44910-42ec35c5-evt-000251,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-70,auction_bid
261,16,mock-44910-42ec35c5-evt-000261,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-18,RENT
