turn_index,player_id,calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,retry_calls
0,OpenAI GPT 5.4 Mini,2.0,2559.0,214.0,101.0,2773.0,0.0028822500000000003,5367.0,0.0
1,Claude Haiku 4.5,2.0,4055.0,1867.0,1159.0,5922.0,0.013389999999999999,21242.0,0.0
2,Claude Haiku 4.5,1.0,2410.0,1222.0,719.0,3632.0,0.00852,13133.0,0.0
3,Gemini 3 Flash Preview,1.0,1801.0,406.0,332.0,2207.0,0.0021185,3001.0,0.0
4,Grok 4.3,1.0,1945.0,395.0,338.0,2340.0,0.00328435,7000.0,0.0
5,OpenAI GPT 5.4 Mini,1.0,1845.0,198.0,132.0,2043.0,0.00227475,2250.0,0.0
6,Claude Haiku 4.5,1.0,2806.0,1414.0,893.0,4220.0,0.009876,18249.0,0.0
7,Gemini 3 Flash Preview,2.0,4202.0,704.0,512.0,4906.0,0.004213,5678.0,0.0
8,Grok 4.3,2.0,4462.0,538.0,436.0,5000.0,0.0066537,10444.0,0.0
9,OpenAI GPT 5.4 Mini,2.0,4431.0,317.0,174.0,4748.0,0.0047497500000000005,6227.0,0.0
10,Claude Haiku 4.5,2.0,6472.0,2973.0,1526.0,9445.0,0.021337000000000002,34908.0,0.0
11,Gemini 3 Flash Preview,2.0,5581.0,1033.0,792.0,6614.0,0.0058895,7210.0,0.0
12,Grok 4.3,2.0,5452.0,904.0,776.0,6356.0,0.0088062,14316.0,0.0
13,OpenAI GPT 5.4 Mini,2.0,5245.0,298.0,157.0,5543.0,0.00527475,5911.0,0.0
14,Claude Haiku 4.5,2.0,7313.0,2728.0,1171.0,10041.0,0.020953,28287.0,0.0
15,Claude Haiku 4.5,3.0,11623.0,4618.0,2320.0,16241.0,0.034713,49477.0,0.0
15,Gemini 3 Flash Preview,4.0,12936.0,2409.0,1964.0,15345.0,0.013695,16175.0,0.0
15,Grok 4.3,1.0,2788.0,387.0,331.0,3175.0,0.0043181,5983.0,0.0
15,OpenAI GPT 5.4 Mini,3.0,8672.0,2295.0,2047.0,10967.0,0.016831500000000003,30083.0,0.0
16,Gemini 3 Flash Preview,1.0,3665.0,869.0,701.0,4534.0,0.0044395,5425.0,0.0
17,Grok 4.3,2.0,6125.0,1085.0,925.0,7210.0,0.00969675,20496.0,0.0
18,Grok 4.3,2.0,6371.0,871.0,704.0,7242.0,0.00946925,14783.0,0.0
20,OpenAI GPT 5.4 Mini,1.0,3092.0,225.0,160.0,3317.0,0.0033315,2269.0,0.0
21,OpenAI GPT 5.4 Mini,1.0,3057.0,169.0,107.0,3226.0,0.00305325,2996.0,0.0
22,Claude Haiku 4.5,6.0,25575.0,19020.0,7740.0,44595.0,0.12067499999999999,189568.0,0.0
22,Gemini 3 Flash Preview,3.0,10459.0,1548.0,1174.0,12007.0,0.0098735,11196.0,0.0
22,Grok 4.3,4.0,13422.0,2423.0,2026.0,15845.0,0.021491,42154.0,0.0
22,OpenAI GPT 5.4 Mini,3.0,8918.0,1291.0,1078.0,10209.0,0.012498,18177.0,0.0
24,Grok 4.3,1.0,3391.0,496.0,389.0,3887.0,0.00534435,6328.0,0.0
25,OpenAI GPT 5.4 Mini,1.0,3307.0,748.0,685.0,4055.0,0.00584625,7212.0,0.0
26,Grok 4.3,4.0,15205.0,1666.0,1279.0,16871.0,0.021020849999999997,26303.0,0.0
26,OpenAI GPT 5.4 Mini,5.0,17140.0,6126.0,5456.0,23266.0,0.040422,54872.0,0.0
27,Claude Haiku 4.5,1.0,4834.0,2653.0,1366.0,7487.0,0.018099,29965.0,0.0
28,Gemini 3 Flash Preview,3.0,11994.0,2752.0,2364.0,14746.0,0.014252999999999998,17922.0,0.0
29,Grok 4.3,1.0,3480.0,610.0,532.0,4090.0,0.0053374,9660.0,0.0
30,OpenAI GPT 5.4 Mini,1.0,3356.0,488.0,425.0,3844.0,0.004713,7583.0,0.0
32,Gemini 3 Flash Preview,1.0,4147.0,1043.0,881.0,5190.0,0.0052025,6547.0,0.0
33,Grok 4.3,3.0,10698.0,1072.0,795.0,11770.0,0.015649299999999998,19545.0,0.0
34,OpenAI GPT 5.4 Mini,2.0,6557.0,607.0,489.0,7164.0,0.00764925,8598.0,0.0
35,OpenAI GPT 5.4 Mini,1.0,3254.0,1330.0,1260.0,4584.0,0.0084255,13009.0,0.0
36,Claude Haiku 4.5,2.0,8525.0,3470.0,1672.0,11995.0,0.025875000000000002,37019.0,0.0
37,Gemini 3 Flash Preview,2.0,7602.0,1681.0,1357.0,9283.0,0.008844000000000001,10636.0,0.0
38,Grok 4.3,1.0,3555.0,489.0,427.0,4044.0,0.00465825,9130.0,0.0
39,Grok 4.3,1.0,3444.0,552.0,463.0,3996.0,0.0051474,8631.0,0.0
39,OpenAI GPT 5.4 Mini,2.0,6248.0,1678.0,1457.0,7926.0,0.012237000000000001,20346.0,0.0
40,Claude Haiku 4.5,3.0,12825.0,5146.0,2470.0,17971.0,0.038555,55485.0,0.0
40,Gemini 3 Flash Preview,6.0,24451.0,5486.0,4418.0,29937.0,0.028683500000000004,34723.0,0.0
40,Grok 4.3,5.0,17351.0,3427.0,2976.0,20778.0,0.02736665,53293.0,0.0
40,OpenAI GPT 5.4 Mini,2.0,6286.0,1453.0,1312.0,7739.0,0.011252999999999999,20189.0,0.0
41,Gemini 3 Flash Preview,1.0,4447.0,2292.0,2097.0,6739.0,0.0090995,15600.0,0.0
42,Grok 4.3,1.0,3716.0,584.0,516.0,4300.0,0.0059706,7990.0,0.0
43,OpenAI GPT 5.4 Mini,1.0,3273.0,396.0,322.0,3669.0,0.00423675,4728.0,0.0
