turn_index,calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,retry_calls
0,2.0,2559.0,214.0,101.0,2773.0,0.0028822500000000003,5367.0,0.0
1,2.0,4055.0,1867.0,1159.0,5922.0,0.013389999999999999,21242.0,0.0
2,1.0,2410.0,1222.0,719.0,3632.0,0.00852,13133.0,0.0
3,1.0,1801.0,406.0,332.0,2207.0,0.0021185,3001.0,0.0
4,1.0,1945.0,395.0,338.0,2340.0,0.00328435,7000.0,0.0
5,1.0,1845.0,198.0,132.0,2043.0,0.00227475,2250.0,0.0
6,1.0,2806.0,1414.0,893.0,4220.0,0.009876,18249.0,0.0
7,2.0,4202.0,704.0,512.0,4906.0,0.004213,5678.0,0.0
8,2.0,4462.0,538.0,436.0,5000.0,0.0066537,10444.0,0.0
9,2.0,4431.0,317.0,174.0,4748.0,0.0047497500000000005,6227.0,0.0
10,2.0,6472.0,2973.0,1526.0,9445.0,0.021337000000000002,34908.0,0.0
11,2.0,5581.0,1033.0,792.0,6614.0,0.0058895,7210.0,0.0
12,2.0,5452.0,904.0,776.0,6356.0,0.0088062,14316.0,0.0
13,2.0,5245.0,298.0,157.0,5543.0,0.00527475,5911.0,0.0
14,2.0,7313.0,2728.0,1171.0,10041.0,0.020953,28287.0,0.0
15,11.0,36019.0,9709.0,6662.0,45728.0,0.0695576,101718.0,0.0
16,1.0,3665.0,869.0,701.0,4534.0,0.0044395,5425.0,0.0
17,2.0,6125.0,1085.0,925.0,7210.0,0.00969675,20496.0,0.0
18,2.0,6371.0,871.0,704.0,7242.0,0.00946925,14783.0,0.0
20,1.0,3092.0,225.0,160.0,3317.0,0.0033315,2269.0,0.0
21,1.0,3057.0,169.0,107.0,3226.0,0.00305325,2996.0,0.0
22,16.0,58374.0,24282.0,12018.0,82656.0,0.1645375,261095.0,0.0
24,1.0,3391.0,496.0,389.0,3887.0,0.00534435,6328.0,0.0
25,1.0,3307.0,748.0,685.0,4055.0,0.00584625,7212.0,0.0
26,9.0,32345.0,7792.0,6735.0,40137.0,0.06144285,81175.0,0.0
27,1.0,4834.0,2653.0,1366.0,7487.0,0.018099,29965.0,0.0
28,3.0,11994.0,2752.0,2364.0,14746.0,0.014252999999999998,17922.0,0.0
29,1.0,3480.0,610.0,532.0,4090.0,0.0053374,9660.0,0.0
30,1.0,3356.0,488.0,425.0,3844.0,0.004713,7583.0,0.0
32,1.0,4147.0,1043.0,881.0,5190.0,0.0052025,6547.0,0.0
33,3.0,10698.0,1072.0,795.0,11770.0,0.015649299999999998,19545.0,0.0
34,2.0,6557.0,607.0,489.0,7164.0,0.00764925,8598.0,0.0
35,1.0,3254.0,1330.0,1260.0,4584.0,0.0084255,13009.0,0.0
36,2.0,8525.0,3470.0,1672.0,11995.0,0.025875000000000002,37019.0,0.0
37,2.0,7602.0,1681.0,1357.0,9283.0,0.008844000000000001,10636.0,0.0
38,1.0,3555.0,489.0,427.0,4044.0,0.00465825,9130.0,0.0
39,3.0,9692.0,2230.0,1920.0,11922.0,0.0173844,28977.0,0.0
40,16.0,60913.0,15512.0,11176.0,76425.0,0.10585814999999998,163690.0,0.0
41,1.0,4447.0,2292.0,2097.0,6739.0,0.0090995,15600.0,0.0
42,1.0,3716.0,584.0,516.0,4300.0,0.0059706,7990.0,0.0
43,1.0,3273.0,396.0,322.0,3669.0,0.00423675,4728.0,0.0
44,3.0,12699.0,10427.0,4410.0,23126.0,0.06309145,104142.0,0.0
45,1.0,4446.0,1440.0,1279.0,5886.0,0.006543,9206.0,0.0
46,1.0,4437.0,1117.0,960.0,5554.0,0.0055695,7563.0,0.0
47,11.0,40442.0,8141.0,6507.0,48583.0,0.0620601,85125.0,0.0
48,18.0,64010.0,19758.0,17337.0,83768.0,0.1327974,203773.0,4.0
49,1.0,4820.0,1766.0,789.0,6586.0,0.01365,19456.0,0.0
50,3.0,14077.0,5007.0,4246.0,19084.0,0.0264345,33762.0,0.0
51,2.0,7413.0,991.0,847.0,8404.0,0.011474950000000001,11944.0,0.0
52,6.0,22495.0,6740.0,5314.0,29235.0,0.04663705,75538.0,0.0
53,1.0,4435.0,1733.0,883.0,6168.0,0.0131,18190.0,0.0
54,8.0,33719.0,10989.0,9218.0,44708.0,0.055800600000000006,84614.0,2.0
55,10.0,38502.0,7841.0,6510.0,46343.0,0.061065350000000004,79187.0,0.0
56,1.0,3578.0,455.0,390.0,4033.0,0.004731,4429.0,0.0
57,1.0,4784.0,1470.0,688.0,6254.0,0.012134,15481.0,0.0
58,1.0,4434.0,1516.0,1342.0,5950.0,0.006765,9640.0,0.0
59,1.0,3766.0,861.0,764.0,4627.0,0.005852,10588.0,0.0
60,3.0,9912.0,5134.0,4880.0,15046.0,0.030537,60213.0,0.0
61,2.0,8668.0,5993.0,2482.0,14661.0,0.038633,58450.0,0.0
62,8.0,33967.0,15603.0,12278.0,49570.0,0.07872795,127557.0,2.0
63,2.0,8517.0,1585.0,1324.0,10102.0,0.01353355,24146.0,0.0
64,1.0,3643.0,809.0,748.0,4452.0,0.00637275,10457.0,0.0
65,1.0,4910.0,1802.0,679.0,6712.0,0.01392,17906.0,0.0
66,8.0,38692.0,15292.0,13911.0,53984.0,0.06745725,92266.0,0.0
67,1.0,4419.0,501.0,416.0,4920.0,0.00664185,8010.0,0.0
68,13.0,50162.0,14687.0,13205.0,64849.0,0.1049307,158097.0,0.0
69,1.0,5017.0,1515.0,905.0,6532.0,0.012592,15889.0,0.0
