seq,turn_index,event_id,event_type,actor_player_id,from_player_id,to_player_id,amount,space_index
42,3,mock-44910-42ec35c5-evt-000042,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Claude Haiku 4.5,6,6
53,4,mock-44910-42ec35c5-evt-000053,RENT_PAID,Grok 4.3,Grok 4.3,Claude Haiku 4.5,6,6
263,16,mock-44910-42ec35c5-evt-000263,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,18,23
307,20,mock-44910-42ec35c5-evt-000307,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Grok 4.3,50,39
437,26,mock-44910-42ec35c5-evt-000437,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Gemini 3 Flash Preview,8,9
536,32,mock-44910-42ec35c5-evt-000536,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,22,27
579,35,mock-44910-42ec35c5-evt-000579,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Grok 4.3,50,39
619,38,mock-44910-42ec35c5-evt-000619,RENT_PAID,Grok 4.3,Grok 4.3,OpenAI GPT 5.4 Mini,22,26
736,41,mock-44910-42ec35c5-evt-000736,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,50,39
747,42,mock-44910-42ec35c5-evt-000747,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,26,31
766,44,mock-44910-42ec35c5-evt-000766,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,26,31
796,46,mock-44910-42ec35c5-evt-000796,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,25,15
954,49,mock-44910-42ec35c5-evt-000954,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Grok 4.3,50,39
965,50,mock-44910-42ec35c5-evt-000965,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,20,24
1154,57,mock-44910-42ec35c5-evt-001154,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,OpenAI GPT 5.4 Mini,10,11
