auction_id,turn_index,property_space,player_id,observed_eligible,participated_with_bid,bid_count,first_bid,last_bid,maximum_bid,dropped_out,won,winning_bid,list_price,winner_bid_to_list_ratio,auction_reason
auction-0001,31,PENNSYLVANIA_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,320,,SOLD
auction-0001,31,PENNSYLVANIA_AVENUE,Gemini 3.5 Flash,True,True,6,100,415,415,True,False,,320,,SOLD
auction-0001,31,PENNSYLVANIA_AVENUE,Grok 4.3,True,False,0,,,,True,False,,320,,SOLD
auction-0001,31,PENNSYLVANIA_AVENUE,OpenAI GPT 5.4 mini,True,True,6,160,501,501,False,True,501,320,1.565625,SOLD
auction-0002,63,TENNESSEE_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,180,,SOLD
auction-0002,63,TENNESSEE_AVENUE,Gemini 3.5 Flash,True,True,2,50,150,150,True,False,,180,,SOLD
auction-0002,63,TENNESSEE_AVENUE,Grok 4.3,True,True,2,75,175,175,False,True,175,180,0.972222,SOLD
auction-0002,63,TENNESSEE_AVENUE,OpenAI GPT 5.4 mini,True,True,1,141,141,141,True,False,,180,,SOLD
auction-0003,117,PACIFIC_AVENUE,Claude Haiku 4.5,True,True,1,250,250,250,True,False,,300,,SOLD
auction-0003,117,PACIFIC_AVENUE,Gemini 3.5 Flash,True,True,2,120,260,260,True,False,,300,,SOLD
auction-0003,117,PACIFIC_AVENUE,Grok 4.3,True,True,2,200,300,300,True,False,,300,,SOLD
auction-0003,117,PACIFIC_AVENUE,OpenAI GPT 5.4 mini,True,True,2,220,320,320,False,True,320,300,1.066667,SOLD
auction-0004,131,ST_JAMES_PLACE,Claude Haiku 4.5,True,False,0,,,,True,False,,180,,SOLD
auction-0004,131,ST_JAMES_PLACE,Gemini 3.5 Flash,True,True,2,20,51,51,True,False,,180,,SOLD
auction-0004,131,ST_JAMES_PLACE,Grok 4.3,True,True,2,50,100,100,False,True,100,180,0.555556,SOLD
auction-0004,131,ST_JAMES_PLACE,OpenAI GPT 5.4 mini,True,False,0,,,,True,False,,180,,SOLD
