trade_id,initiator_player_id,counterparty_player_id,start_event_id,start_seq,start_turn,end_event_id,end_seq,end_turn,outcome,censored,counteroffers,offer_revisions,public_exchange_count,initial_offer,initial_request,final_offer,final_request,event_span,turns_to_resolution,accepted,back_and_forth_count
trade-0001,Claude Haiku 4.5,OpenAI GPT 5.4 mini,mock-64394-c3bb8d94-evt-000444,444,31,mock-64394-c3bb8d94-evt-000454,454,31,ACCEPTED,False,1,1,2,"{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}",10,0,True,1
trade-0002,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,mock-64394-c3bb8d94-evt-000477,477,32,mock-64394-c3bb8d94-evt-000482,482,32,REJECTED,False,0,0,1,"{""cash"":80,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}","{""cash"":80,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}",5,0,False,0
trade-0003,Gemini 3.5 Flash,Claude Haiku 4.5,mock-64394-c3bb8d94-evt-000487,487,32,mock-64394-c3bb8d94-evt-000492,492,32,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}",5,0,False,0
trade-0004,Gemini 3.5 Flash,Grok 4.3,mock-64394-c3bb8d94-evt-000497,497,32,mock-64394-c3bb8d94-evt-000502,502,32,REJECTED,False,0,0,1,"{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0005,Gemini 3.5 Flash,Claude Haiku 4.5,mock-64394-c3bb8d94-evt-000556,556,36,mock-64394-c3bb8d94-evt-000561,561,36,REJECTED,False,0,0,1,"{""cash"":280,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":280,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}",5,0,False,0
trade-0006,Gemini 3.5 Flash,Claude Haiku 4.5,mock-64394-c3bb8d94-evt-000566,566,36,mock-64394-c3bb8d94-evt-000571,571,36,REJECTED,False,0,0,1,"{""cash"":60,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":60,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}",5,0,False,0
trade-0007,Gemini 3.5 Flash,Grok 4.3,mock-64394-c3bb8d94-evt-000576,576,36,mock-64394-c3bb8d94-evt-000581,581,36,REJECTED,False,0,0,1,"{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0008,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,mock-64394-c3bb8d94-evt-000597,597,37,mock-64394-c3bb8d94-evt-000612,612,37,ACCEPTED,False,2,2,3,"{""cash"":60,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}",15,0,True,2
trade-0009,OpenAI GPT 5.4 mini,Grok 4.3,mock-64394-c3bb8d94-evt-000645,645,39,mock-64394-c3bb8d94-evt-000650,650,39,REJECTED,False,0,0,1,"{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""KENTUCKY_AVENUE""]}","{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""KENTUCKY_AVENUE""]}",5,0,False,0
trade-0010,OpenAI GPT 5.4 mini,Grok 4.3,mock-64394-c3bb8d94-evt-000655,655,39,mock-64394-c3bb8d94-evt-000660,660,39,REJECTED,False,0,0,1,"{""cash"":275,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""KENTUCKY_AVENUE""]}","{""cash"":275,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""KENTUCKY_AVENUE""]}",5,0,False,0
