schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,from_player_id,to_player_id,space_index,property_space,amount,reason
v1,mock-64394-c3bb8d94,8,0,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,12,,150,
v1,mock-64394-c3bb8d94,30,2,PROPERTY_PURCHASED,,Claude Haiku 4.5,,,9,,120,
v1,mock-64394-c3bb8d94,55,4,PROPERTY_PURCHASED,,Grok 4.3,,,6,,100,
v1,mock-64394-c3bb8d94,106,9,PROPERTY_PURCHASED,,Grok 4.3,,,21,,220,
v1,mock-64394-c3bb8d94,145,12,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,14,,160,
v1,mock-64394-c3bb8d94,165,14,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,24,,240,
v1,mock-64394-c3bb8d94,203,18,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,29,,280,
v1,mock-64394-c3bb8d94,232,20,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,27,,260,
v1,mock-64394-c3bb8d94,270,24,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,32,,300,
v1,mock-64394-c3bb8d94,313,27,PROPERTY_PURCHASED,,Claude Haiku 4.5,,,25,,200,
v1,mock-64394-c3bb8d94,347,30,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,13,,140,
v1,mock-64394-c3bb8d94,437,31,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,34,,501,
v1,mock-64394-c3bb8d94,457,31,PROPERTY_TRANSFERRED,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,Claude Haiku 4.5,13,,,
v1,mock-64394-c3bb8d94,471,32,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,5,,200,
v1,mock-64394-c3bb8d94,526,34,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,19,,200,
v1,mock-64394-c3bb8d94,550,36,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,15,,200,
v1,mock-64394-c3bb8d94,615,37,PROPERTY_TRANSFERRED,,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,27,,,
v1,mock-64394-c3bb8d94,616,37,PROPERTY_TRANSFERRED,,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,34,,,
v1,mock-64394-c3bb8d94,639,39,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,28,,150,
v1,mock-64394-c3bb8d94,681,41,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,26,,260,
v1,mock-64394-c3bb8d94,725,44,PROPERTY_PURCHASED,,Grok 4.3,,,1,,60,
v1,mock-64394-c3bb8d94,797,48,PROPERTY_PURCHASED,,Grok 4.3,,,8,,100,
v1,mock-64394-c3bb8d94,812,49,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,3,,60,
v1,mock-64394-c3bb8d94,890,51,PROPERTY_TRANSFERRED,,Claude Haiku 4.5,Gemini 3.5 Flash,Claude Haiku 4.5,14,,,
v1,mock-64394-c3bb8d94,903,52,PROPERTY_PURCHASED,,Grok 4.3,,,11,,140,
v1,mock-64394-c3bb8d94,938,54,PROPERTY_PURCHASED,,Claude Haiku 4.5,,,35,,200,
v1,mock-64394-c3bb8d94,1000,59,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,23,,220,
v1,mock-64394-c3bb8d94,1064,59,PROPERTY_TRANSFERRED,,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,5,,,
v1,mock-64394-c3bb8d94,1065,59,PROPERTY_TRANSFERRED,,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,15,,,
v1,mock-64394-c3bb8d94,1182,63,PROPERTY_PURCHASED,,Grok 4.3,,,18,,175,
v1,mock-64394-c3bb8d94,1363,75,PROPERTY_TRANSFERRED,,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,12,,,
v1,mock-64394-c3bb8d94,1364,75,PROPERTY_TRANSFERRED,,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,23,,,
v1,mock-64394-c3bb8d94,1443,82,PROPERTY_PURCHASED,,Gemini 3.5 Flash,,,39,,400,
v1,mock-64394-c3bb8d94,1918,117,PROPERTY_PURCHASED,,OpenAI GPT 5.4 mini,,,31,,320,
v1,mock-64394-c3bb8d94,1953,119,PROPERTY_TRANSFERRED,,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,26,,,
v1,mock-64394-c3bb8d94,1954,119,PROPERTY_TRANSFERRED,,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,31,,,
v1,mock-64394-c3bb8d94,1983,121,HOUSE_BUILT,,OpenAI GPT 5.4 mini,,,27,,1,
v1,mock-64394-c3bb8d94,1984,121,HOUSE_BUILT,,OpenAI GPT 5.4 mini,,,29,,1,
v1,mock-64394-c3bb8d94,2012,123,HOUSE_BUILT,,Gemini 3.5 Flash,,,34,,1,
v1,mock-64394-c3bb8d94,2084,130,PROPERTY_MORTGAGED,,OpenAI GPT 5.4 mini,,,3,,,
v1,mock-64394-c3bb8d94,2093,130,PROPERTY_MORTGAGED,,OpenAI GPT 5.4 mini,,,28,,,
v1,mock-64394-c3bb8d94,2142,131,PROPERTY_PURCHASED,,Grok 4.3,,,16,,100,
v1,mock-64394-c3bb8d94,2165,132,HOUSE_BUILT,,Gemini 3.5 Flash,,,31,,1,
v1,mock-64394-c3bb8d94,2166,132,HOUSE_BUILT,,Gemini 3.5 Flash,,,32,,1,
v1,mock-64394-c3bb8d94,2189,134,HOUSE_BUILT,,OpenAI GPT 5.4 mini,,,26,,1,
v1,mock-64394-c3bb8d94,2200,134,PROPERTY_TRANSFERRED,,Grok 4.3,OpenAI GPT 5.4 mini,Grok 4.3,19,,,
v1,mock-64394-c3bb8d94,2201,134,PROPERTY_TRANSFERRED,,OpenAI GPT 5.4 mini,Grok 4.3,OpenAI GPT 5.4 mini,21,,,
v1,mock-64394-c3bb8d94,2207,134,PROPERTY_MORTGAGED,,OpenAI GPT 5.4 mini,,,15,,,
v1,mock-64394-c3bb8d94,2256,138,HOUSE_BUILT,,Grok 4.3,,,16,,2,
v1,mock-64394-c3bb8d94,2257,138,HOUSE_BUILT,,Grok 4.3,,,18,,2,
v1,mock-64394-c3bb8d94,2258,138,HOUSE_BUILT,,Grok 4.3,,,19,,2,
v1,mock-64394-c3bb8d94,2264,138,HOUSE_BUILT,,Grok 4.3,,,16,,2,
v1,mock-64394-c3bb8d94,2265,138,HOUSE_BUILT,,Grok 4.3,,,18,,2,
