schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,delta,reason,from_player_id,to_player_id,amount,payer_delta,receiver_delta
v1,mock-64394-c3bb8d94,9,0,CASH_CHANGED,,OpenAI GPT 5.4 mini,-150,buy_property,,,,,
v1,mock-64394-c3bb8d94,31,2,CASH_CHANGED,,Claude Haiku 4.5,-120,buy_property,,,,,
v1,mock-64394-c3bb8d94,42,3,CASH_CHANGED,,Gemini 3.5 Flash,200,PASS_GO,,,,,
v1,mock-64394-c3bb8d94,56,4,CASH_CHANGED,,Grok 4.3,-100,buy_property,,,,,
v1,mock-64394-c3bb8d94,65,5,CASH_CHANGED,,Grok 4.3,-24,RENT,,,,,
v1,mock-64394-c3bb8d94,66,5,CASH_CHANGED,,OpenAI GPT 5.4 mini,24,RENT,,,,,
v1,mock-64394-c3bb8d94,67,5,RENT_PAID,,,,,Grok 4.3,OpenAI GPT 5.4 mini,24,-24,24
v1,mock-64394-c3bb8d94,82,7,CASH_CHANGED,,Claude Haiku 4.5,-12,RENT,,,,,
v1,mock-64394-c3bb8d94,83,7,CASH_CHANGED,,OpenAI GPT 5.4 mini,12,RENT,,,,,
v1,mock-64394-c3bb8d94,84,7,RENT_PAID,,,,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,12,-12,12
v1,mock-64394-c3bb8d94,107,9,CASH_CHANGED,,Grok 4.3,-220,buy_property,,,,,
v1,mock-64394-c3bb8d94,118,10,CASH_CHANGED,,OpenAI GPT 5.4 mini,-50,JAIL_FINE,,,,,
v1,mock-64394-c3bb8d94,130,11,CASH_CHANGED,,Claude Haiku 4.5,-18,RENT,,,,,
v1,mock-64394-c3bb8d94,131,11,CASH_CHANGED,,Grok 4.3,18,RENT,,,,,
v1,mock-64394-c3bb8d94,132,11,RENT_PAID,,,,,Claude Haiku 4.5,Grok 4.3,18,-18,18
v1,mock-64394-c3bb8d94,146,12,CASH_CHANGED,,Gemini 3.5 Flash,-160,buy_property,,,,,
v1,mock-64394-c3bb8d94,166,14,CASH_CHANGED,,OpenAI GPT 5.4 mini,-240,buy_property,,,,,
v1,mock-64394-c3bb8d94,181,16,CASH_CHANGED,,Gemini 3.5 Flash,-18,RENT,,,,,
v1,mock-64394-c3bb8d94,182,16,CASH_CHANGED,,Grok 4.3,18,RENT,,,,,
v1,mock-64394-c3bb8d94,183,16,RENT_PAID,,,,,Gemini 3.5 Flash,Grok 4.3,18,-18,18
v1,mock-64394-c3bb8d94,204,18,CASH_CHANGED,,OpenAI GPT 5.4 mini,-280,buy_property,,,,,
v1,mock-64394-c3bb8d94,215,19,CASH_CHANGED,,Claude Haiku 4.5,-50,JAIL_FINE,,,,,
v1,mock-64394-c3bb8d94,219,19,CASH_CHANGED,,Claude Haiku 4.5,25,CONSULTANCY_FEE_COLLECT_25,,,,,
v1,mock-64394-c3bb8d94,233,20,CASH_CHANGED,,Gemini 3.5 Flash,-260,buy_property,,,,,
v1,mock-64394-c3bb8d94,249,22,CASH_CHANGED,,OpenAI GPT 5.4 mini,200,PASS_GO,,,,,
v1,mock-64394-c3bb8d94,271,24,CASH_CHANGED,,Gemini 3.5 Flash,-300,buy_property,,,,,
v1,mock-64394-c3bb8d94,287,25,CASH_CHANGED,,Grok 4.3,-50,JAIL_FINE,,,,,
v1,mock-64394-c3bb8d94,290,25,CASH_CHANGED,,Grok 4.3,-12,RENT,,,,,
v1,mock-64394-c3bb8d94,291,25,CASH_CHANGED,,Gemini 3.5 Flash,12,RENT,,,,,
v1,mock-64394-c3bb8d94,292,25,RENT_PAID,,,,,Grok 4.3,Gemini 3.5 Flash,12,-12,12
v1,mock-64394-c3bb8d94,314,27,CASH_CHANGED,,Claude Haiku 4.5,-200,buy_property,,,,,
v1,mock-64394-c3bb8d94,323,28,CASH_CHANGED,,Gemini 3.5 Flash,-100,TAX_LUXURY,,,,,
v1,mock-64394-c3bb8d94,332,29,CASH_CHANGED,,Grok 4.3,-20,RENT,,,,,
v1,mock-64394-c3bb8d94,333,29,CASH_CHANGED,,OpenAI GPT 5.4 mini,20,RENT,,,,,
v1,mock-64394-c3bb8d94,334,29,RENT_PAID,,,,,Grok 4.3,OpenAI GPT 5.4 mini,20,-20,20
v1,mock-64394-c3bb8d94,348,30,CASH_CHANGED,,OpenAI GPT 5.4 mini,-140,buy_property,,,,,
v1,mock-64394-c3bb8d94,438,31,CASH_CHANGED,,OpenAI GPT 5.4 mini,-501,auction_bid,,,,,
v1,mock-64394-c3bb8d94,455,31,CASH_CHANGED,,Claude Haiku 4.5,-250,TRADE_CASH,,,,,
v1,mock-64394-c3bb8d94,456,31,CASH_CHANGED,,OpenAI GPT 5.4 mini,250,TRADE_CASH,,,,,
v1,mock-64394-c3bb8d94,466,32,CASH_CHANGED,,Gemini 3.5 Flash,200,PASS_GO,,,,,
v1,mock-64394-c3bb8d94,472,32,CASH_CHANGED,,Gemini 3.5 Flash,-200,buy_property,,,,,
v1,mock-64394-c3bb8d94,511,33,CASH_CHANGED,,Grok 4.3,-22,RENT,,,,,
v1,mock-64394-c3bb8d94,512,33,CASH_CHANGED,,Gemini 3.5 Flash,22,RENT,,,,,
v1,mock-64394-c3bb8d94,513,33,RENT_PAID,,,,,Grok 4.3,Gemini 3.5 Flash,22,-22,22
v1,mock-64394-c3bb8d94,527,34,CASH_CHANGED,,OpenAI GPT 5.4 mini,-200,buy_property,,,,,
v1,mock-64394-c3bb8d94,536,35,CASH_CHANGED,,Claude Haiku 4.5,200,PASS_GO,,,,,
v1,mock-64394-c3bb8d94,537,35,CASH_CHANGED,,Claude Haiku 4.5,-200,TAX_INCOME,,,,,
v1,mock-64394-c3bb8d94,551,36,CASH_CHANGED,,Gemini 3.5 Flash,-200,buy_property,,,,,
v1,mock-64394-c3bb8d94,590,37,CASH_CHANGED,,Gemini 3.5 Flash,-20,RENT,,,,,
v1,mock-64394-c3bb8d94,591,37,CASH_CHANGED,,OpenAI GPT 5.4 mini,20,RENT,,,,,
v1,mock-64394-c3bb8d94,592,37,RENT_PAID,,,,,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,20,-20,20
v1,mock-64394-c3bb8d94,613,37,CASH_CHANGED,,Gemini 3.5 Flash,-150,TRADE_CASH,,,,,
v1,mock-64394-c3bb8d94,614,37,CASH_CHANGED,,OpenAI GPT 5.4 mini,150,TRADE_CASH,,,,,
v1,mock-64394-c3bb8d94,626,38,CASH_CHANGED,,Grok 4.3,50,BANK_PAYS_YOU_DIVIDEND_50,,,,,
