event_type,count
LLM_DECISION_REQUESTED,346
LLM_DECISION_RESPONSE,346
LLM_PRIVATE_THOUGHT,346
LLM_PUBLIC_MESSAGE,346
CASH_CHANGED,241
PLAYER_MOVED,167
DICE_ROLLED,159
TURN_ENDED,157
TURN_STARTED,157
RENT_PAID,57
PROPERTY_PURCHASED,47
TRADE_PROPOSED,44
TRADE_REJECTED,37
AUCTION_BID_PLACED,28
CARD_DRAWN,27
HOUSE_BUILT,23
PROPERTY_MORTGAGED,13
AUCTION_PLAYER_DROPPED,12
PROPERTY_TRANSFERRED,12
SENT_TO_JAIL,10
TRADE_COUNTERED,8
TRADE_ACCEPTED,7
AUCTION_ENDED,4
AUCTION_STARTED,4
HOTEL_BUILT,3
HOUSE_SOLD,3
GAME_ENDED,1
GAME_STARTED,1
