turn_index,phase,active_player_id,player_id,cash,net_worth_estimate,position,in_jail,jail_turns,doubles_count,bankrupt,property_value,building_value,mortgage_liability,property_count,mortgaged_count,houses,hotels,snapshot_file
0,START_TURN,OpenAI GPT 5.4 mini,OpenAI GPT 5.4 mini,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,OpenAI GPT 5.4 mini,Claude Haiku 4.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,OpenAI GPT 5.4 mini,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
1,START_TURN,OpenAI GPT 5.4 mini,OpenAI GPT 5.4 mini,1350,1500,12,False,0,1,False,150,0,0,1,0,0,0,turn_0001.json
1,START_TURN,OpenAI GPT 5.4 mini,Claude Haiku 4.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
1,START_TURN,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
1,START_TURN,OpenAI GPT 5.4 mini,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
2,START_TURN,Claude Haiku 4.5,OpenAI GPT 5.4 mini,1350,1500,20,False,0,0,False,150,0,0,1,0,0,0,turn_0002.json
2,START_TURN,Claude Haiku 4.5,Claude Haiku 4.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
2,START_TURN,Claude Haiku 4.5,Gemini 3.5 Flash,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
2,START_TURN,Claude Haiku 4.5,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
3,START_TURN,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,1350,1500,20,False,0,0,False,150,0,0,1,0,0,0,turn_0003.json
3,START_TURN,Gemini 3.5 Flash,Claude Haiku 4.5,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0003.json
3,START_TURN,Gemini 3.5 Flash,Gemini 3.5 Flash,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0003.json
3,START_TURN,Gemini 3.5 Flash,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0003.json
4,START_TURN,Grok 4.3,OpenAI GPT 5.4 mini,1350,1500,20,False,0,0,False,150,0,0,1,0,0,0,turn_0004.json
4,START_TURN,Grok 4.3,Claude Haiku 4.5,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0004.json
4,START_TURN,Grok 4.3,Gemini 3.5 Flash,1700,1700,0,False,0,0,False,0,0,0,0,0,0,0,turn_0004.json
4,START_TURN,Grok 4.3,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0004.json
5,START_TURN,Grok 4.3,OpenAI GPT 5.4 mini,1350,1500,20,False,0,0,False,150,0,0,1,0,0,0,turn_0005.json
5,START_TURN,Grok 4.3,Claude Haiku 4.5,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0005.json
5,START_TURN,Grok 4.3,Gemini 3.5 Flash,1700,1700,0,False,0,0,False,0,0,0,0,0,0,0,turn_0005.json
5,START_TURN,Grok 4.3,Grok 4.3,1400,1500,6,False,0,1,False,100,0,0,1,0,0,0,turn_0005.json
6,START_TURN,OpenAI GPT 5.4 mini,OpenAI GPT 5.4 mini,1374,1524,20,False,0,0,False,150,0,0,1,0,0,0,turn_0006.json
6,START_TURN,OpenAI GPT 5.4 mini,Claude Haiku 4.5,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0006.json
6,START_TURN,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,1700,1700,0,False,0,0,False,0,0,0,0,0,0,0,turn_0006.json
6,START_TURN,OpenAI GPT 5.4 mini,Grok 4.3,1376,1476,12,False,0,0,False,100,0,0,1,0,0,0,turn_0006.json
7,START_TURN,Claude Haiku 4.5,OpenAI GPT 5.4 mini,1374,1524,10,True,0,0,False,150,0,0,1,0,0,0,turn_0007.json
7,START_TURN,Claude Haiku 4.5,Claude Haiku 4.5,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0007.json
7,START_TURN,Claude Haiku 4.5,Gemini 3.5 Flash,1700,1700,0,False,0,0,False,0,0,0,0,0,0,0,turn_0007.json
7,START_TURN,Claude Haiku 4.5,Grok 4.3,1376,1476,12,False,0,0,False,100,0,0,1,0,0,0,turn_0007.json
8,START_TURN,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,1386,1536,10,True,0,0,False,150,0,0,1,0,0,0,turn_0008.json
8,START_TURN,Gemini 3.5 Flash,Claude Haiku 4.5,1368,1488,12,False,0,0,False,120,0,0,1,0,0,0,turn_0008.json
8,START_TURN,Gemini 3.5 Flash,Gemini 3.5 Flash,1700,1700,0,False,0,0,False,0,0,0,0,0,0,0,turn_0008.json
8,START_TURN,Gemini 3.5 Flash,Grok 4.3,1376,1476,12,False,0,0,False,100,0,0,1,0,0,0,turn_0008.json
9,START_TURN,Grok 4.3,OpenAI GPT 5.4 mini,1386,1536,10,True,0,0,False,150,0,0,1,0,0,0,turn_0009.json
9,START_TURN,Grok 4.3,Claude Haiku 4.5,1368,1488,12,False,0,0,False,120,0,0,1,0,0,0,turn_0009.json
9,START_TURN,Grok 4.3,Gemini 3.5 Flash,1700,1700,7,False,0,0,False,0,0,0,0,0,0,0,turn_0009.json
9,START_TURN,Grok 4.3,Grok 4.3,1376,1476,12,False,0,0,False,100,0,0,1,0,0,0,turn_0009.json
10,START_TURN,OpenAI GPT 5.4 mini,OpenAI GPT 5.4 mini,1386,1536,10,True,0,0,False,150,0,0,1,0,0,0,turn_0010.json
10,START_TURN,OpenAI GPT 5.4 mini,Claude Haiku 4.5,1368,1488,12,False,0,0,False,120,0,0,1,0,0,0,turn_0010.json
